Unnamed: 0,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
22,heures,hours
23,vont,will
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
32,attention,Warning
33,voici,here is
36,type,type
38,donné,given
39,corps,body
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
45,main,hand
46,côté,side
48,vieux,old
49,sois,be
50,tiens,here
52,tellement,so much
53,enfant,child
54,point,point
56,suite,after
57,pardon,sorry
58,venez,come
59,devant,in front of
60,vers,towards
61,minutes,minutes
63,chambre,bedroom
64,mis,placed
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
69,mari,husband
70,enfin,finally
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
85,chérie,sweetheart
87,aura,will have
90,bureau,office
